,ID,URL,Availability,Inventory_State,Brand_Link,Name,Brand_Name,Reference,Price,Views,Reference_Number,Box,Papers,Manufactured_In,Style,Gender,Case_Size,Case_Material,Dial_Color,Hours_Markers,Caseback,Case_Shape,Water_Resistance,Movement,Complications,Strap_Bracelet_Material,Band_Color,Buckle_Type,Bracelet_Length,Warranty_Details,Year
0,0,https://www.thewatchbox.com//sg/en/shop/4604732.html,Make An Offer,,https://www.thewatchbox.com/sg/en/watches/gem-set-watches/,Daytona Cosmograph,ROLEX,REF 116599RBOW,623106.0,55.0,116599RBOW,Yes,Yes,Switzerland,"Casual, Dress",Mens,40mm,WHITE GOLD,BLACK,DIAMOND,Solid,Round,100m,Automatic,CHRONOGRAPH,WHITE GOLD,SILVER,FOLDING BUCKLE,"7.75""",,2012
1,1,https://www.thewatchbox.com//sg/en/shop/4561080.html,Make An Offer,Coming Soon,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner 16613,ROLEX,REF 16613 BLU IX OYS,17507.0,45.0,16613 BLU IX OYS,No,No,Switzerland,"Casual, Sport",Mens,40mm,STAINLESS STEEL,BLUE,"DOT, INDEX",Solid,Round,300m,Mechanical(Automatic),DATE,TWO-TONE: YELLOW/STAINLESS,TWO TONE: YELLOW/SILVER,FOLDING BUCKLE,"8""",,2005
2,2,https://www.thewatchbox.com//sg/en/shop/4728440.html,Make An Offer,Coming Soon,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 16610,ROLEX,REF 16610 BLK OYS,14018.0,223.0,16610 BLK OYS,Yes,No,Switzerland,"Casual, Dress, Sport",Mens,40mm,STAINLESS STEEL,BLACK,"INDEX, DOT",Solid,Round,300m,Automatic,DATE,STAINLESS STEEL,SILVER,FOLDING BUCKLE,"7.75""",,1991
3,3,https://www.thewatchbox.com//sg/en/shop/4547519.html,Make An Offer,,https://www.thewatchbox.com/sg/en/watches/gem-set-watches/,"Daytona Cosmograph ""Rainbow"" 116598RBOW",ROLEX,REF 116598RBOW-0001,629953.0,144.0,116598RBOW-0001,Yes,No,Switzerland,Dress,Mens,40mm,YELLOW GOLD,BLACK,DIAMOND,Solid,Round,100m,Automatic,CHRONOGRAPH,YELLOW GOLD,YELLOW GOLD,FOLDING BUCKLE,"8.5""",,2013
4,4,https://www.thewatchbox.com//sg/en/shop/4630653.html,Join Waitlist,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 116613LN,ROLEX,REF 116613LN-0001,,32.0,116613LN-0001,No,No,Switzerland,"Casual, Dress, Sport",Mens,40mm,STAINLESS STEEL,BLACK,"DOT, INDEX",Solid,Round,300m,Mechanical(Automatic),DATE,"STAINLESS STEEL, YELLOW GOLD","SILVER, YELLOW GOLD",FOLDING BUCKLE,,,
5,5,https://www.thewatchbox.com//sg/en/shop/4546560.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner No Date 14060M,ROLEX,REF 14060 BLK OYS,14116.0,111.0,14060 BLK OYS,No,No,Switzerland,"Casual, Dress, Sport",Mens,40mm,STAINLESS STEEL,BLACK,DOT/INDEX,Solid,Round,300m,Automatic,,STAINLESS STEEL,SILVER,FOLDING BUCKLE,6.5,,2003
6,6,https://www.thewatchbox.com//sg/en/shop/4638227.html,Make An Offer,Coming Soon,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 16610,ROLEX,REF 16610 BLK OYS,14018.0,100.0,16610 BLK OYS,No,No,Switzerland,"Casual, Dress, Sport",Mens,40mm,STAINLESS STEEL,BLACK,"INDEX, DOT",Solid,Round,300m,Automatic,DATE,STAINLESS STEEL,SILVER,FOLDING BUCKLE,"7.25""",,1991
7,7,https://www.thewatchbox.com//sg/en/shop/4484556.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner 6536,ROLEX,REF 6536-1,41072.0,69.0,6536-1,No,No,Switzerland,"Casual, Sport",Mens,,STAINLESS STEEL,BLACK,"INDEX, DOT",Solid,Round,,Automatic,TIME-ONLY,STAINLESS STEEL,SILVER,FOLDING BUCKLE,,,1959
8,8,https://www.thewatchbox.com//sg/en/shop/4609095.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,"Submariner Date ""Smurf"" 116619LB",ROLEX,REF 116619LB-0001,56646.0,85.0,116619LB-0001,No,No,Switzerland,"Casual, Dress, Sport",Mens,40mm,WHITE GOLD,BLUE,DOT/INDEX,Solid,Round,300m,Automatic,DATE,WHITE GOLD,SILVER,FOLDING BUCKLE,"7.25""",,2011
9,9,https://www.thewatchbox.com//sg/en/shop/4774238.html,Make An Offer,Coming Soon,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Daytona Cosmograph 116500LN,ROLEX,REF 116500LN-0002,36774.0,76.0,116500LN-0002,Yes,Yes,Switzerland,"Casual, Dress, Sport",Mens,40mm,STAINLESS STEEL,BLACK,INDEX,Solid,Round,100m,Automatic,CHRONOGRAPH,STAINLESS STEEL,SILVER,FOLDING BUCKLE,,,2017
10,10,https://www.thewatchbox.com//sg/en/shop/4728572.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 126619LB,ROLEX,REF 126619LB-0003,51386.0,74.0,126619LB-0003,No,No,Switzerland,"Casual, Dress, Sport",Mens,41mm,WHITE GOLD,BLACK,"INDEX, DOT",Solid,Round,300m,Automatic,DATE,WHITE GOLD,SILVER,FOLDING BUCKLE,10.5 LINKS,,
11,11,https://www.thewatchbox.com//sg/en/shop/4630646.html,Make An Offer,Coming Soon,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 116613LB,ROLEX,REF 116613LB-0005,21092.0,57.0,116613LB-0005,Yes,No,Switzerland,"Casual, Dress, Sport",Mens,40mm,STAINLESS STEEL,BLUE,DOT/INDEX,Solid,Round,300m,Mechanical(Automatic),DATE,"STAINLESS STEEL, YELLOW GOLD","SILVER, YELLOW GOLD",FOLDING BUCKLE,"7.25""",,2008
12,12,https://www.thewatchbox.com//sg/en/shop/4628699.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Sea-Dweller 4000 16600,ROLEX,REF 16600 BLK IX OYS,13252.0,55.0,16600 BLK IX OYS,No,No,Switzerland,"Casual, Dress, Sport",Mens,40mm,STAINLESS STEEL,BLACK,DOT/INDEX,Solid,Round,1200m,Mechanical(Automatic),DATE,STAINLESS STEEL,SILVER,FOLDING BUCKLE,"7.5""",,1999
13,13,https://www.thewatchbox.com//sg/en/shop/4703674.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Air-King 116900,ROLEX,REF 116900-0001,12733.0,59.0,116900-0001,Yes,Yes,Switzerland,"Casual, Dress",Mens,40mm,STAINLESS STEEL,BLACK,ARABIC NUMERALS,Solid,Round,100m,Mechanical(Automatic),TIME-ONLY,STAINLESS STEEL,SILVER,FOLDING BUCKLE,"8""",,2021
14,14,https://www.thewatchbox.com//sg/en/shop/4682688.html,Join Waitlist,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,"Sea-Dweller Deepsea ""Deep Blue"" 116660",ROLEX,REF 116660-0003,,60.0,116660-0003,No,Yes,Switzerland,"Casual, Sport",Mens,44mm,STAINLESS STEEL,"BLACK, BLUE","INDEX, DOT",Solid,Round,3900m,Automatic,DATE,STAINLESS STEEL,SILVER,FOLDING BUCKLE,"7"" 1 LINK",,2016
15,15,https://www.thewatchbox.com//sg/en/shop/4613402.html,Join Waitlist,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 16613LN,ROLEX,REF 16613 BLK IX OYS,,54.0,16613 BLK IX OYS,No,No,Switzerland,Casual,Mens,40mm,STAINLESS STEEL,BLACK,INDEX,Solid,Round,300m,Mechanical (Automatic),DATE,TWO-TONE: YELLOW/STAINLESS,TWO TONE: YELLOW/SILVER,FOLDING BUCKLE,"7.75""",,2008
